season,week,home_team,away_team,home_points,away_points,spread,over_under,neutral_site,home_conference,away_conference,venue
2023,1,California Lutheran University,Southwestern University,41,35,,,False,So. Cal.,Southern Athletic,William Rolland Stadium
2023,1,La Verne,Willamette,21,24,,,False,So. Cal.,Northwest,Ortmayer Stadium
2023,1,Syracuse,Colgate,65,0,,,False,ACC,Patriot,JMA Wireless Dome
2023,1,Arkansas,Western Carolina,56,13,,,True,SEC,Southern,War Memorial Stadium (AR)
2023,1,SUNY Maritime,Hartwick,34,11,,,False,NEWMAC,Empire 8,Reinhart Field
2023,1,Mississippi State,SE Louisiana,48,7,,,False,SEC,Southland,Davis Wade Stadium
2023,1,Christopher Newport,Southern Virginia,45,0,,,False,New Jersey,USA South,TowneBank Stadium
2023,1,Indianapolis,Hillsdale,39,20,,,False,Great Lakes,Great Midwest Athletic,Key Stadium
2023,1,Edward Waters,Florida Memorial University,21,38,,,False,SIAC,,Earl Kitchings Stadium
2023,1,Allen,ERSKINE,24,17,,,False,SIAC,South Atlantic,W.C. Hawkins Stadium
2023,1,Benedict College,Shaw,52,0,,,False,SIAC,CIAA,Charlie W. Johnson Stadium
2023,1,Slippery Rock,Wayne State (MI),28,17,,,False,Pennsylvania State Athletic,GLIAC,Mihalik-Thompson Stadium
2023,1,Sacred Heart,Lafayette,14,19,,,False,NEC,Patriot,Campus Field
2023,1,Lock Haven University,Post University,58,7,,,False,Pennsylvania State Athletic,Independent DII,Hubert Jack Stadium
2023,1,Stetson,St. Thomas University (Fl),34,33,,,False,Pioneer,,Spec Martin Municipal Stadium
2023,1,Livingstone,Bluefield State,7,41,,,False,CIAA,Independent DII,Alumni Memorial Stadium (NC)
2023,1,Florida Atlantic,Monmouth,42,20,,,False,American Athletic,CAA,FAU Stadium
2023,1,Charlotte,South Carolina State,24,3,,,False,American Athletic,MEAC,Jerry Richardson Stadium
2023,1,Alabama State,Southern,14,10,,,False,SWAC,SWAC,Hornet Stadium
2023,1,Fordham,Wagner,46,16,,,False,Patriot,NEC,Jack Coffey Field
2023,1,Lenoir-Rhyne,St. Augustine's,45,7,,,False,South Atlantic,CIAA,Helen and Leonard Moretz Stadium
2023,1,Berry College,Huntingdon College (AL),67,34,,,False,Southern Athletic,USA South,Valhalla Stadium
2023,1,Georgia Southern,The Citadel,34,0,,,False,Sun Belt,Southern,Allen E. Paulson Stadium
2023,1,Marshall,UAlbany,21,17,,,False,Sun Belt,CAA,Joan C. Edwards Stadium
2023,1,James Madison,Bucknell,38,3,,,False,Sun Belt,Patriot,Bridgeforth Stadium
2023,1,Anderson (IN),Trine University,0,61,,,False,Heartland,Michigan,Macholtz Stadium
